rule_id,category,label,terms,synonyms,alert_level,base_score,fuzzy_threshold
SANTE_DIABETE,sante,Diabete,diabete|diabetique|diabetiques,insuline|glycemie|glycemique|traitement insulinique,interdit,0.90,0.86
SANTE_PATHOLOGIE,sante,Pathologie grave,cancer|tumeur|handicap|depression|vih|sida,chimiotherapie|maladie chronique|affection longue duree,interdit,0.92,0.88
OPINION_POLITIQUE,opinions_politiques,Engagement politique,parti politique|militant politique|engagement politique|elu local,syndicat politique|campagne electorale|tract politique,interdit,0.88,0.86
CONVICTION_RELIGIEUSE,convictions_religieuses,Convictions religieuses,religion|religieux|musulman|chretien|juif|bouddhiste,pratique religieuse|lieu de culte,interdit,0.88,0.87
APPARTENANCE_SYNDICALE,appartenance_syndicale,Appartenance syndicale,syndique|syndicat|delegue syndical,cgt|cfdt|fo|unsa|cfe cgc,interdit,0.90,0.88
ORIENTATION_SEXUELLE,orientation_sexuelle,Orientation sexuelle,homosexuel|bisexuel|heterosexuel|orientation sexuelle,vie sexuelle|pacs avec mon compagnon|pacs avec ma compagne,interdit,0.92,0.88
ORIGINE_ETHNIQUE,origine_raciale_ethnique,Origine raciale ou ethnique,origine ethnique|origine raciale|race|ethnie,communauté ethnique|minorite ethnique,interdit,0.92,0.88
DONNEES_BIOMETRIQUES,donnees_biometriques,Biometrie,empreinte digitale|reconnaissance faciale|biometrie,donnee biometrique|scan iris,interdit,0.92,0.88
DONNEES_GENETIQUES,donnees_genetiques,Genetique,adn|genetique|test genetique,mutation genetique|predisposition genetique,interdit,0.92,0.88
